word	fequency
you	0.0442053133953381
i	0.04001284086175996
the	0.03356034512845813
to	0.02430487026061357
a	0.02145366012523718
it	0.02026899892352601
and	0.014971013858217058
that	0.014291535968900527
of	0.013005296183352744
in	0.01093768321736486
what	0.010537717103636978
is	0.010532804621719292
me	0.010163967315329406
we	0.00962914723881532
he	0.008158055966780417
this	0.008104511321465589
for	0.007587581687694705
my	0.007370897599898575
on	0.0072381620569651264
your	0.007005030304066373
have	0.006863363615640743
do	0.006714264862881193
no	0.006583535132765137
don	0.006537133996256112
are	0.0062989701164646
be	0.006269234821189212
not	0.006086241350785575
was	0.005905492983149476
can	0.0055935574193161615
know	0.005537275015454084
with	0.005474827376405914
all	0.005384579875502647
but	0.005077929804391656
here	0.0049849023173028795
there	0.004750764139025575
they	0.004677492148703192
so	0.004519659312763345
get	0.004514535692654355
just	0.004400929269853097
go	0.004388894392948739
like	0.004191247932068568
up	0.003850506081001605
come	0.0038134865181262104
right	0.003786207463809665
she	0.0037795284590247313
him	0.0037569366725551468
out	0.0037101062217238016
if	0.003653134099770129
at	0.0035379230267149563
now	0.003488009958290565
one	0.003472667249722436
about	0.0034433401549502367
how	0.003186068268845665
oh	0.0029969940185324575
want	0.00297193895316432
got	0.0029695038260246077
her	0.0029412957636663225
will	0.0029108285226610783
well	0.0028607746954424844
see	0.0028488453876337784
good	0.0028050060611792475
let	0.0026516493548950563
yes	0.0026495098212231706
think	0.002622272994544886
as	0.002604713334968059
who	0.0025783632886932535
why	0.0025318495451488654
yeah	0.0024680646975557665
did	0.0024544181324577838
from	0.002427315026633992
his	0.002363107902658284
when	0.002200946733796694
going	0.0021732102133989887
man	0.0021285052203601092
take	0.0021038724313745807
where	0.0021027111713224056
time	0.0020989740253363155
them	0.002091154874318338
back	0.0020880089152679002
an	0.002038877058151336
us	0.002023639918678859
look	0.002022351975711901
or	0.001861675812129153
would	0.0018301880698659372
say	0.0018115727193325876
were	0.0018031201537406962
been	0.0017956106720699652
then	0.0017943931085001089
had	0.0017888260981893795
tell	0.0017773261047029927
some	0.001750546744105868
our	0.001686663365356827
okay	0.0016713628844269588
by	0.001620070379819378
too	0.0016074654297984973
gonna	0.0015744786063770194
down	0.0015642032144001989
could	0.0015639639244500539
hey	0.0015598115400210647
something	0.0014891083976928874
never	0.001487271495428538
way	0.0014840410811015785
very	0.0014811625637601267
more	0.0014650597577033013
really	0.0014587678396024261
has	0.0014536160677345957
make	0.0014312565332754458
over	0.001358104187928136
please	0.0013554860743559597
only	0.001332908363765795
love	0.0013293471662724587
give	0.0013279677300892692
little	0.0013204512104788278
need	0.0012750424234689334
people	0.0012433083533158623
off	0.001240549480949483
two	0.0011767857471755147
said	0.0011760608393853692
sorry	0.0011513858227615796
thank	0.0011388512521378006
am	0.0011378659405783793
sir	0.001137239563944176
should	0.0011308280008682284
mean	0.001127506093325037
any	0.0011263940988508333
because	0.0011209185817563356
much	0.0011042597784624083
sure	0.0010395599987069897
even	0.0010289115959255311
doing	0.0010172215780669704
nothing	0.001002814915480291
must	0.0009926521305388331
these	0.0009866769197249148
thing	0.0009768660317689643
help	0.0009735230104066425
god	0.0009724321297515692
day	0.0009392763957770476
first	0.0009321821525492153
won	0.000929465507821097
life	0.000928022730180516
anything	0.0009208369937364518
again	0.0009010251934523767
away	0.0008975554891752722
stop	0.0008947121615323712
wait	0.0008891169994628011
night	0.0008813400760830842
find	0.0008760968109990217
into	0.0008712617464181479
work	0.0008533079622175526
still	0.0008526675097039289
put	0.000840745239834933
home	0.0008406467086789909
call	0.000838880185811743
before	0.000829238208408836
better	0.000828168441572893
their	0.0008250084066430352
other	0.0008203633664343356
talk	0.0008181182636667974
after	0.0008037045631404081
maybe	0.0007955968565943141
great	0.000792049734980398
than	0.0007913740927682235
those	0.0007882633234163367
always	0.0007808946005398086
thought	0.0007765170020400947
long	0.0007755950319380648
money	0.0007733569671102368
old	0.0007707036638395099
everything	0.000770619208562988
leave	0.0007623425914638504
keep	0.0007513493296365945
new	0.000742565980878326
told	0.0007412358102731074
things	0.0007388992142893374
name	0.0007330014208122307
last	0.0007271810446719359
father	0.0007171660564643909
around	0.0007138582248006199
years	0.0007095087780597466
does	0.0007015981338255368
hello	0.0006918435493872675
ever	0.0006839399430927679
place	0.000658504828980282
big	0.0006478564261988235
nice	0.0006475819465501276
uh	0.0006324855658718536
feel	0.0006251238809350356
girl	0.0006202043610776401
stay	0.0006157000796631433
believe	0.0006153692964967663
thanks	0.0006095207685976307
made	0.0006077964733686437
mother	0.0006010330133071886
listen	0.000599372059535593
three	0.0005955011926950099
may	0.000595367471840517
guy	0.0005936713283703707
hear	0.0005918977675634125
understand	0.0005874568276063073
shit	0.0005868937924294952
coming	0.0005825443456886219
world	0.000580081066790069
enough	0.0005742043871320928
left	0.0005732049996932514
fine	0.0005729727476828164
every	0.0005717481461732501
ok	0.0005716285011981776
remember	0.0005688696288317983
house	0.0005663500464155643
course	0.0005656532903842593
done	0.0005633870737975907
boy	0.0005573133318277304
wrong	0.0005564476652433818
bad	0.0005544348144862786
which	0.0005498601536746804
woman	0.0005454051378381548
another	0.000545369948139604
lot	0.0005451939996468502
kind	0.0005405911870764115
wanted	0.0005405841491367013
through	0.0005351015941024937
fuck	0.0005342359275181451
guys	0.0005339755237488695
came	0.0005337925373164056
ask	0.0005333350712352458
kill	0.000532230114700752
son	0.0005237634732294403
today	0.0005236508661940779
dead	0.0005232426656908892
show	0.000522538871719874
own	0.0005164229021117528
happened	0.0005128687425581265
care	0.0005103069325036316
mind	0.000505387412646236
